town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,公益財団法人　結核予防会　複十字病院,医療法人　啓仁会　吉祥寺南病院,医療法人　徳洲会　武蔵野徳洲会病院,医療法人社団　山斗会　山中病院,医療法人社団　時正会　佐々総合病院,医療法人社団　東山会　調布東山病院,医療法人社団　武蔵野会　一橋病院,医療法人社団　永寿会　三鷹中央病院,医療法人財団　きよせ旭が丘記念病院,医療法人財団　緑秀会　田無病院,医療法人財団　荻窪病院,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,学校法人　順天堂　順天堂大学医学部附属練馬病院,独立行政法人　国立病院機構　東京病院,緑風荘病院
杉並区井草四丁目,杉並区井草四丁目,杉並区,井草四丁目,139.6115825930454,35.727054471867575,6.576838189881098,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,41.0,0.0,0.0
杉並区井草五丁目,杉並区井草五丁目,杉並区,井草五丁目,139.60649966532597,35.726205075890135,6.12395532132214,1608.0,0.0,0.0,0.0,47.0,345.0,0.0,0.0,0.0,0.0,0.0,802.0,0.0,414.0,0.0,0.0
杉並区下井草一丁目,杉並区下井草一丁目,杉並区,下井草一丁目,139.63197532886582,35.71617493695655,8.546043242580518,336.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0
杉並区下井草二丁目,杉並区下井草二丁目,杉並区,下井草二丁目,139.62786131823907,35.72032142801769,8.1080409318997,498.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,114.0,0.0,63.0
杉並区下井草三丁目,杉並区下井草三丁目,杉並区,下井草三丁目,139.62387475786127,35.720445110553015,7.749485204776771,1140.0,0.0,0.0,65.0,77.0,114.0,0.0,0.0,0.0,0.0,68.0,533.0,0.0,283.0,0.0,0.0
杉並区下井草四丁目,杉並区下井草四丁目,杉並区,下井草四丁目,139.61942418175886,35.72153675772839,7.335349539932845,1505.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.0,0.0,177.0,0.0,0.0
杉並区下井草五丁目,杉並区下井草五丁目,杉並区,下井草五丁目,139.61561082578748,35.72197728523629,6.987676719298131,1079.0,0.0,0.0,0.0,37.0,68.0,0.0,0.0,0.0,0.0,0.0,651.0,0.0,110.0,0.0,213.0
杉並区上井草一丁目,杉並区上井草一丁目,杉並区,上井草一丁目,139.61232485811854,35.722128504486186,6.691279486769314,1340.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,0.0,309.0,0.0,49.0
杉並区上井草二丁目,杉並区上井草二丁目,杉並区,上井草二丁目,139.60764121409656,35.722213379657305,6.270863227749281,3676.0,0.0,58.0,158.0,96.0,115.0,98.0,0.0,53.0,0.0,0.0,1992.0,0.0,928.0,52.0,126.0
杉並区上井草三丁目,杉並区上井草三丁目,杉並区,上井草三丁目,139.6020863145738,35.721555023360814,5.785463298809339,2788.0,0.0,48.0,47.0,121.0,293.0,0.0,0.0,0.0,0.0,0.0,1889.0,0.0,390.0,0.0,0.0
